"Edit","Find Next","Ctrl+K","Editing Text"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Navigate","Next Page","Alt+F7","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Run/Debug","Step Into","F5","Debugging"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"File","Print","Ctrl+P","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Run/Debug","Debug Android Application","Alt+Shift+A, D","In Windows"
"File","Refresh","F5","In Windows"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Navigate","Backward History","Alt+Left","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Edit","Delete","Delete","In Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Text Editing","Line Up","Ctrl+K","In Dialogs and Windows"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Source","Override/Implement Methods","Alt+3","In Windows"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Window","Next View","Ctrl+F7","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"File","Close","Ctrl+W","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Edit","Word Completion","Alt+/","Editing Text"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Edit","Content Assist","Alt+1","In Dialogs and Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Navigate","Matching Bracket","Ctrl+Shift+P","Editing in Structured Text Editors"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"File","Close","Ctrl+F4","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Navigate","Forward History","Alt+Right","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Source","Generate Constructor using Fields","Alt+2","Editing Java Source"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Window","Quick Access","Ctrl+3","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"File","Close All","Ctrl+Shift+W","In Windows"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
